Date,Energetic,Jealous,Calm,Content,Angry,Sad,Relaxed,Loved,Scared,Proud,Irritated,Depressed,Exhausted,Caring,Panicky,Embarrassed,Bored,Worried,Inspired,Excited,Lonely,Nervous,Happy,Satisfaction with life,Satisfaction with personal relationships,Purpose,Pleasant-Unpleasant Scale,Arousal-Calm Scale,Poisitve - Tired Scale,Negative Relaxed Scale,BILLS,FOOD & DRINKS,GROCERIES,MEDICAL,MOVIES,RENT,ROOM COMMON EXPENSES,SHOPPING,TRAVEL
08/05/20,5,1,6,6,3,1,6,6,1,6,1,1,3,4,1,1,1,2,6,7,1,1,6,6,5,5,22,18,18,-1,7686.66,1751,158,0,0,1666.66,83.33,647,388
09/05/20,3,2,4,5,1,1,4,4,1,4,4,1,5,4,1,1,2,1,4,5,1,1,4,5,6,5,11,11,10,0,1781,1313,0,0,120,0,0,2510,239
10/05/20,5,1,6,5,1,1,6,5,1,4,1,1,3,6,1,1,1,1,3,3,1,1,5,6,6,5,24,15,18,-2,540,2514,208,0,0,0,0,0,393
11/05/20,5,1,6,3,1,1,5,6,5,1,1,1,2,5,2,6,1,5,1,1,1,2,4,4,2,3,18,20,18,3,645,1078,229,40,0,1666.67,2417.83,3919,337
12/05/20,3,1,5,2,1,2,4,3,3,1,1,1,2,2,1,4,1,3,2,1,1,1,4,4,3,3,9,11,10,2,450,3008,0,0,0,1666.67,196.33,150,377
13/05/20,6,1,6,2,1,1,6,6,1,1,3,1,1,2,2,2,3,2,1,1,3,1,3,5,3,4,16,15,16,-1,1803.32,1562,320,0,0,1666.67,95.16,25409,443.5
15/05/20,4,1,6,5,2,1,6,5,2,2,1,1,1,3,1,4,1,2,4,4,1,2,5,5,4,4,20,16,16,0,2265,2642,170,0,0,1666.67,13.16,5379,249
16/05/20,3,1,6,6,1,1,3,4,1,3,1,1,3,1,1,2,1,1,4,3,1,1,6,5,4,4,18,8,11,-2,2480,2791,0,0,254.5,1666.7,528.66,449,1890
17/05/20,3,1,6,3,1,1,3,3,1,1,1,1,5,1,1,1,2,1,1,1,1,1,4,4,5,4,10,2,6,-2,3660,1672,0,525,0,0,16,7892.2,1447
18/05/20,2,1,6,3,1,1,3,3,1,1,1,1,4,2,1,1,1,1,3,4,1,1,5,5,4,4,12,5,8,-2,1154,2602,205,0,250,3333.6,1558.07,20000,1886
19/05/20,5,1,6,5,1,1,4,3,1,5,1,1,3,3,1,1,1,2,5,5,1,1,5,6,4,5,18,13,13,-1,2660,4253,115,0,0,1666.67,159.7,280,2040
20/05/20,4,1,4,5,2,1,5,4,1,3,2,1,2,3,2,1,1,1,2,4,1,1,5,5,5,5,16,13,14,0,30,3087,289,0,333,1666.67,0,220,1447
21/05/20,3,1,6,5,1,1,5,5,1,1,1,1,1,5,1,1,2,1,1,1,1,1,5,4,6,5,23,12,17,-2,10910,1587,694,0,0,0,0,5816,559
22/05/20,5,1,6,3,2,2,6,5,1,3,2,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5,16,11,15,-1,770,746,0,1233,300,1666.66,2163.03,8839,653.17
23/05/20,5,1,6,5,1,1,5,3,1,1,1,1,1,3,1,2,1,1,1,5,1,1,5,5,5,4,21,10,15,-2,318.33,1180,30,362.8,0,1750,127,0,147
24/05/20,5,1,6,5,1,1,7,6,1,5,1,1,1,3,1,1,1,1,3,3,1,1,5,6,4,5,24,15,18,-2,800,3781,200,202,0,1750,0,2437.65,1639
25/05/20,5,1,5,5,1,3,4,5,3,4,2,1,1,4,2,1,2,2,3,3,1,1,5,5,4,4,19,20,18,2,1535,1827,110,0,125,1750,561.79,2660,357
26/05/20,5,1,3,6,1,1,5,2,1,3,1,1,1,1,1,2,2,1,5,5,1,1,6,5,4,4,17,14,13,1,1465,3059,538.3,299,0,1750,0,294,2645.84
28/05/20,3,1,6,1,1,1,6,4,1,1,1,1,1,3,1,2,1,2,1,1,1,1,5,5,5,5,15,10,14,-1,357,3485,0,0,464,0,0,0,362
29/05/20,2,1,3,1,2,1,5,3,1,1,3,1,1,1,1,2,1,1,2,1,1,1,4,5,3,4,5,9,9,1,283,3260,0,0,0,2100,418.82,0,898
30/05/20,2,2,2,1,3,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,2,11,10,2,6122,3193,40,0,500,0,0,2411,2766
31/05/20,6,1,6,7,1,1,7,7,1,6,1,1,1,2,1,1,1,1,2,2,1,1,6,6,6,5,28,15,20,-2,8728.65,2615,109,0,205.5,0,368.1,1350,3029.67
01/06/20,4,1,6,1,1,1,6,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6,5,5,5,14,6,12,-2,676,2129,0,42,0,2100,0,957,391
02/06/20,1,1,6,4,2,1,3,1,1,1,2,1,5,1,1,1,1,1,1,3,1,1,5,5,5,4,6,-2,3,-2,2337,2492,228,0,0,2100,262.4,2221,3624